feature_id,feature_name,omics_type,coefficient,intercept,scaling_mean,scaling_sd,model_task,recoverable_status,notes
microbe__Reads_number,Reads_number,microbiome,6.32652238507307e-17,-0.04915300138472041,16.22622405248339,1.0,nonIBD vs IBD,strict_scoreable,"positive_class=IBD; source_task_id=A_IBD_vs_HC; logistic coefficient, intercept, and scaler recovered from model artifact."
microbe__EC:3.6.4.12,EC:3.6.4.12,microbiome,0.047341719296818754,-0.04915300138472041,10.90038798310635,0.06304986292135213,nonIBD vs IBD,strict_scoreable,"positive_class=IBD; source_task_id=A_IBD_vs_HC; logistic coefficient, intercept, and scaler recovered from model artifact."
microbe__EC:2.7.7.7,EC:2.7.7.7,microbiome,0.03632411364993795,-0.04915300138472041,10.843977234183429,0.06219830036918763,nonIBD vs IBD,strict_scoreable,"positive_class=IBD; source_task_id=A_IBD_vs_HC; logistic coefficient, intercept, and scaler recovered from model artifact."
microbe__EC:2.7.13.3,EC:2.7.13.3,microbiome,0.02229410376146082,-0.04915300138472041,10.428790511937994,0.0553300993250958,nonIBD vs IBD,strict_scoreable,"positive_class=IBD; source_task_id=A_IBD_vs_HC; logistic coefficient, intercept, and scaler recovered from model artifact."
microbe__EC:5.2.1.8,EC:5.2.1.8,microbiome,-0.0795777282438018,-0.04915300138472041,10.113532901010485,0.07448319797600918,nonIBD vs IBD,strict_scoreable,"positive_class=IBD; source_task_id=A_IBD_vs_HC; logistic coefficient, intercept, and scaler recovered from model artifact."
microbe__EC:1.6.5.3,EC:1.6.5.3,microbiome,-0.04330267879280754,-0.04915300138472041,10.095778226023722,0.07905442108381354,nonIBD vs IBD,strict_scoreable,"positive_class=IBD; source_task_id=A_IBD_vs_HC; logistic coefficient, intercept, and scaler recovered from model artifact."
microbe__EC:3.2.1.23,EC:3.2.1.23,microbiome,-0.07593506983067025,-0.04915300138472041,9.80339001244977,0.08643469965278024,nonIBD vs IBD,strict_scoreable,"positive_class=IBD; source_task_id=A_IBD_vs_HC; logistic coefficient, intercept, and scaler recovered from model artifact."
microbe__EC:3.1.21.3,EC:3.1.21.3,microbiome,0.01736923904971227,-0.04915300138472041,10.020575937908045,0.08707888867575948,nonIBD vs IBD,strict_scoreable,"positive_class=IBD; source_task_id=A_IBD_vs_HC; logistic coefficient, intercept, and scaler recovered from model artifact."
microbe__EC:2.1.1.72,EC:2.1.1.72,microbiome,0.04314939478555513,-0.04915300138472041,9.996710569383833,0.07203062967884553,nonIBD vs IBD,strict_scoreable,"positive_class=IBD; source_task_id=A_IBD_vs_HC; logistic coefficient, intercept, and scaler recovered from model artifact."
microbe__EC:5.99.1.2,EC:5.99.1.2,microbiome,0.03492458484634751,-0.04915300138472041,9.903413109394878,0.06833559444262544,nonIBD vs IBD,strict_scoreable,"positive_class=IBD; source_task_id=A_IBD_vs_HC; logistic coefficient, intercept, and scaler recovered from model artifact."
